SampleID,MDS1,MDS2,MDS3
101_S1,-0.3079632189991879,-0.4248607951818228,-0.6537286603178555
101_V3,-0.5803366630130576,-0.10608788077322653,-0.773819941489792
101_V5,-0.2715939956130459,-0.43959769619499456,-0.5883229112301566
102_V1,-0.4311566003789133,0.35612393549586735,0.5019268393743463
102_V3,-0.1362837386221923,0.7378537947046288,0.5366592719518976
102_V5,-0.6020802006334353,-0.49873348755936714,0.17154639765391566
103_S1,0.6145573865090863,0.15566256317162694,0.14048703457394127
103_V10,0.47009483739515856,-0.047778870109552646,-0.05890178457362036
103_V3,-0.5962778099631025,-0.27870473174676375,-0.8489963054406505
103_V9,0.6307476142955567,0.05974758636107625,-0.11201509111429156
104_V2,-0.3953868743756623,-0.3221336453426803,0.4689777925002375
105_V4,-0.5191088814124041,0.2235227675109409,-0.9741693530182676
105_V6,0.389084338209404,-0.38485770062207686,-0.4955906937574979
105_V7,0.3021916512756582,0.2713277880697232,0.3831024487626849
106_A1,0.17272666911990867,0.4305191810966845,-0.8149033000480139
106_AF1,0.21592712656656882,0.5126777618126472,0.048823333931399
106_S_1,0.35399912867807126,0.6008243363608637,0.12948541485125176
106_V2,-0.3557904931167094,0.7460530598541698,-0.6407583885515835
106_V6,-0.7580437446746333,0.3929292505899294,0.3345605442400501
106_V7,0.1575308636106543,0.6837919487408901,-0.08874760371842136
107_A1,0.6869535148505856,0.5034452405036559,0.04605157431688925
107_S1,0.4888652962182152,0.8195892779273423,0.7766588882472425
107_S2,0.21721890122589127,0.627981517582519,-0.3213687119089925
107_S3,0.32876921357695293,0.7314485232286616,-0.1405496873047736
107_V2,-1.4093704010094286,-0.08835752028773386,-0.23207095234619396
107_V3,-0.29336541247355874,0.9792466516148559,0.2590961450592667
107_V6,-0.017501870018913037,0.40801010932789883,0.8830731731149754
107_V7,-0.37107616022192624,0.42426362278977026,-0.3453387763427221
107_V8,0.6291329741397919,0.3662796763021172,-0.03273016341280123
107_V9,0.5898300449351537,0.2812480246364077,-0.1504523888337164
108_A1,0.367271594611917,0.29360461516938025,0.03873965521256909
108_A1F,0.3674488058641763,0.27501540119380563,0.04335760969054641
108_A2,0.3257195445785253,0.14250283684376147,-0.09526052341424379
108_A3F,0.5444896553972169,0.18240067570190008,-0.03714553323000928
108_A4,0.76351208873453,0.3489383769548582,0.16175701867100858
108_A5,0.6590640683205294,0.12372063340688536,0.030735430782799108
108_S1,0.05198695029624234,0.10227523240767906,-0.6842960419946242
108_S2,0.49735983263575045,0.41130596570344147,-0.7802815745483598
108_S3,0.43145733635194966,0.03767102568496138,-0.39328960723335016
108_S4,0.03721817297930552,0.39136225642893935,-0.26848556429143683
108_S4F_1,0.4803195398629292,0.3458097471364178,-0.2952896754779812
108_S4F_2,0.22180072121422545,0.15981177478357603,-0.31338789418977303
108_S5,0.3333708643473592,0.2908175066557364,-0.05809303920417554
108_S5F,0.2617562216625064,0.11122554713495549,-0.1512348101414815
108_S6,0.22926797681449382,0.1010184725399925,-0.12670795797405732
108_S6F,0.19252339488421233,0.42580821666442087,-0.42158646404261557
108_S7,0.2499946890945848,0.5059814819806046,-0.022198109740202747
108_S7F,0.4812113046521222,0.24535232676500857,-0.0679056653641136
108_V10,0.40971465309324556,0.25332910701625894,-0.008763749260600898
108_V11,0.4635933740134374,0.40567681095405583,0.10629467451272123
108_V12,0.654779692074119,0.030964653771109456,0.007236173206929391
108_V2,-1.0988667509691912,-0.7338079654257585,-0.897370516513045
108_V3,-0.3627456407469989,-0.8192661142613787,-0.22513481388034554
108_V4,-0.4956950560074802,-0.4075377332561963,-0.6064056985162469
108_V5,-0.3042455791816538,-0.5454007466426269,-0.47098577316016493
108_V6,0.17371644855462287,0.16163108738703919,-1.0710084492851537
108_V7,-0.2002462701508686,0.12111748013665075,-0.5601091310299651
108_V8,0.7300076318434954,0.025726559080286218,-0.4514511211277375
108_V9,0.3721518128558303,0.11684178767066315,-0.28781700881973876
109_S1,-0.14433116207597801,-0.026045294329574926,-0.4140374227983062
109_S4F,0.580511219180856,0.08636724153642598,-0.010085270973033416
109_S5,0.5440197300006324,-0.19341495322818303,-0.014876652316878599
109_V1,-0.822134733440543,0.9414379099524716,-0.06694166044878766
109_V3,-0.749881644345587,0.16744514545426592,-0.18778204192046324
109_V5,-0.19269379837753317,-0.03132046138372878,0.0648076797953905
109_V6,0.2425276684158505,-0.04731171633610512,-0.15450627704111197
110_V10,0.41153450899101673,0.4887401663830195,0.010154695966185873
110_V11,0.5546569946922454,0.2651965936710434,0.028107110132409133
110_V12,0.4565665265095529,0.2996482435008837,0.005792106114057761
110_V7,-0.4267156519513772,0.4174797065487113,-0.13145711978259703
110_V8,0.20289317778875302,0.4801765733812818,-0.022328348127948677
110_V9,0.38324999857192077,0.48929094825549146,0.1731182318498348
111_V2,-1.5627678795732771,-0.21384019341339527,-0.5211065824365076
112_A1,0.5951099298970601,0.0527011559322987,0.19091151801331094
112_A2,0.7083330501396478,-0.14270366811787438,0.1920200557699424
