SampleID,genus_shannon,genus_evenness,genus_richness,species_shannon,species_evenness,species_richness
101_S1,2.643139818020885,0.0189064365646914,262,2.8088727853517987,0.006940847655485184,617
101_V3,2.1096963200094683,0.016938073462609952,198,2.262752031448843,0.007418227717025868,473
101_V5,2.746375429346136,0.020760645902417055,267,2.860439243473417,0.00753010638101791,619
102_V1,2.418360860567188,0.023814808056602802,176,2.7450932244663133,0.012173509441741278,338
102_V3,1.8793834482280394,0.019470315212222505,137,3.176577423108294,0.025663148026777514,266
102_V5,1.227719199474266,0.0071021503413748405,215,2.0382514661419138,0.004528420854876245,486
103_S1,1.446138028777023,0.004342603089713946,365,3.1714518394458713,0.00783281600943437,602
103_V10,2.5099619135561984,0.008314798694611351,428,3.7896535093990087,0.011035084069620853,729
103_V3,2.370704092379016,0.02019080820270034,195,2.836491516472906,0.009027482074125891,426
103_V9,2.6821108159725586,0.012254085524981277,369,3.8193494386986293,0.013008378204775572,623
104_V2,1.6537954321376434,0.01239119739383625,202,2.536480383670417,0.009944188132175425,382
105_V4,0.9324083826943621,0.009286422933449823,157,2.1256747516754224,0.008418546617179732,334
105_V6,1.9942367242886545,0.00952208458772901,286,1.9623955829786623,0.0049693983498714425,529
105_V7,0.8016302435746633,0.004460640353490628,286,2.393990020873441,0.0057019077312608114,489
106_A1,0.4326283353127484,0.00563266541434933,198,0.749759111290251,0.0037113879057735196,330
106_AF1,1.557854621438352,0.007299727640740764,251,2.9804912228436837,0.012496362332320831,418
106_S_1,0.9218206543859481,0.005323572600324967,249,2.094065621264238,0.0068695740924459,401
106_V2,2.1008115586179184,0.012458585167431984,174,4.4273606320588765,0.0351496804578642,329
106_V6,1.9589641864586091,0.021237472350952934,141,2.0701253545940443,0.009922288231995324,296
106_V7,1.0821515116472717,0.005899892446467864,237,1.846490395188278,0.005590026429971621,409
107_A1,3.0519061100149716,0.018576346749761004,240,3.4934623897410693,0.009622807628417909,422
107_S1,2.415216804452881,0.02136175273858284,171,2.5495878527465377,0.012954541068112037,280
107_S2,3.6094141291903807,0.031582532855290966,232,4.380616155244301,0.019489308146366777,415
107_S3,2.9931480756567597,0.018610753657123186,235,3.411645900967939,0.010165021643311104,386
107_V2,0.8404114260555411,0.012249014795377065,108,1.014507473201195,0.005984050852474367,229
107_V3,2.355256146299648,0.023324043375851273,131,2.794176668418689,0.010589076046163035,267
107_V6,1.987888934505664,0.01185239463877289,195,2.1722415174429424,0.007347450404282268,335
107_V7,1.4442581585473981,0.009946452584430693,196,1.710778203284574,0.004781805290636005,383
107_V8,3.398207608839231,0.022984689148717884,276,4.18246101267435,0.016073662150313056,470
107_V9,3.6046804245651916,0.02349232848483658,303,4.075919224816598,0.013753807496001365,536
108_A1,1.2427940293006805,0.005263164661836167,291,3.3128418112961997,0.01268729842083878,528
108_A1F,1.1704034265133316,0.0050313869346717745,291,3.104518743366442,0.011063688525464686,499
108_A2,1.5431956087922294,0.004682238465651454,365,3.186788035396277,0.005829748314912962,659
108_A3F,1.757944961775851,0.00543659157909104,345,3.5179983667172228,0.00990092461211565,623
108_A4,1.712305494787816,0.008070649973892502,241,3.51684417953933,0.015651636543442555,376
108_A5,1.1855547219954228,0.004204627235161901,332,3.173230592083067,0.007857775768661807,592
108_S1,3.3380976378322345,0.021322450744214638,297,4.4400859554597325,0.022299398507238225,575
108_S2,3.17774733135863,0.02483987518067028,253,4.281247214069753,0.02595291864909526,465
108_S3,1.403413135935618,0.004635303361564173,364,1.7631982347860664,0.0028480536836254476,631
108_S4,1.1045479246989927,0.0073314295227309475,201,1.3007284178745955,0.0039060216676493555,390
108_S4F_1,0.9198616295763634,0.00472720185148937,269,1.9110917229681421,0.004616029129231368,506
108_S4F_2,1.369669373584337,0.0050191581600651505,301,2.301743313154554,0.004983928963196041,580
108_S5,0.8132908764126004,0.004543247650046285,274,2.598507069645305,0.006552859005270778,484
108_S5F,1.8369300154276624,0.007028981829342021,325,3.068277353100802,0.007555891413565524,621
108_S6,1.6359596192508286,0.005683101583892841,344,2.773998747923039,0.005511380065694112,644
108_S6F,1.5716027164748612,0.008285286452324559,235,3.4941018200860268,0.016243459156220368,439
108_S7,1.1621845506982826,0.006669071986573366,220,3.1972573768173556,0.015193466172819166,398
108_S7F,1.2402028530101163,0.004897672172232295,287,3.4311156703263688,0.011071608015069475,524
108_V10,1.1962516623702681,0.004580248075187095,323,3.0411541869730514,0.008325557233848493,573
108_V11,0.78459113481794,0.004553676508884502,271,2.9767097879659956,0.010387767708897972,451
108_V12,1.2696759581662413,0.003798166898633443,368,3.5004467899558325,0.008829249572883556,682
