SampleID,MDS1,MDS2,MDS3
101_S1,-0.4584798847257624,-0.0048400555462763594,-0.21334443762153185
101_V3,-0.40523701823972563,0.0425925779745769,-0.30414304502229617
101_V5,-0.42681499593895633,0.03600348392144678,-0.24086351360850192
102_V1,-0.4271435023406321,-0.16643938226106603,0.02098308595176627
102_V3,0.12672898217110715,-0.25448238227250825,0.06652714767194925
102_V5,-0.00295784744854445,0.5480872796418116,0.2809297384078664
103_S1,0.3193256247544491,-0.07702212962799275,-0.007754134400927429
103_V10,0.21828362230625054,0.24453474237001205,-0.01423468170621086
103_V9,0.2571396879032773,0.10864181502066433,-0.044843837339215806
104_V2,0.1959458866685546,0.27568710950601155,0.24352451912086404
105_V4,-0.6893903195719452,-0.0935492447165166,-0.2738235311807596
105_V6,0.10338341379088496,0.27269937745036416,-0.31001876151444
105_V7,0.3308261179918737,-0.2036458935998955,0.10867470899803318
106_A1,0.2087287595425163,0.7252970993174606,0.3379631275323732
106_S_1,0.34808306520576976,-0.19312907774694224,0.08926305948246684
106_V2,0.5341886617385256,-0.20395422513111663,-0.2242065218770955
106_V6,-0.1760240117021074,0.2021767924760298,-0.04676268332739468
106_V7,0.2029545992340039,-0.2396116467645478,0.04615398995722518
107_A1,0.33610062953110287,-0.023332825657011086,-0.43265226525528067
107_S1,0.4402236026798045,0.32109663500073404,0.13964916012014086
107_S2,0.3036440077224586,0.002730414337646886,-0.46066623714532906
107_S3,0.261132612822866,-0.0524717233238763,-0.43516428488686937
107_V2,-0.751131371696818,-0.05102773791126673,-0.18199823921428415
107_V3,0.004286036316092587,-0.2128138032660941,-0.38590664720024137
107_V6,0.19599347446222046,0.35558431156076636,0.16502645716511768
107_V7,-0.20324011025080463,0.38507639239116487,0.2127642893130093
107_V8,0.24105266534740094,0.04678814650021238,-0.3670714781741273
107_V9,0.14562358082809762,0.15412268159467613,-0.33833983807804313
108_A1,0.29917906471455646,-0.15600277803641643,0.060340161838295235
108_A2,0.29776922450525684,-0.08435563809888455,-0.06518871913434768
108_A3F,0.2717903995398259,-0.019029512709373284,-0.05592788824827907
108_A5,0.32815631852618105,-0.05066094214984599,-0.061040426218796864
108_S1,-0.026785303173831907,0.22315847269338826,-0.20262607050738152
108_S2,0.20265790711047307,0.25396646738159406,-0.30599967958149576
108_S3,0.3374478721124342,-0.0771413857553767,0.10736249306149798
108_S4F_1,0.30654123374340453,-0.24652788585939125,0.026669109872997872
108_S4F_2,0.1670295885666269,-0.19194884506617657,-0.011731883273394928
108_S5,0.3288733281598218,-0.20582092829396034,0.06299260985093912
108_S5F,0.24873994262982282,-0.028863519774438053,0.027156749098540035
108_S6F,-0.4980252238263937,-0.13173240596317007,-0.16628719421525365
108_S7,0.27554763409122573,-0.17238139895873694,0.022625398481968217
108_S7F,0.31410649257703216,-0.006604040939551967,-0.08228899654540114
108_V10,0.2818130604330847,-0.17351657284440394,0.02676500813262201
