SampleID,MDS1,MDS2
101_S1,-0.44362746322370233,-0.005226824883604457
101_V3,-0.41911585943746604,-0.06324333712981015
101_V5,-0.4180618431028809,-0.03609902393940663
102_V1,-0.38715976210667863,0.11927453199274292
102_V3,0.1162776362257934,0.23302609008869862
102_V5,0.023698916757373154,-0.5691924851603993
103_S1,0.29842929955303577,0.09989248065914995
103_V10,0.2226721201360378,-0.17726646619834918
103_V9,0.24817409771907442,-0.06166687695598316
104_V2,0.2132269482988367,-0.26762853554412036
105_V4,-0.7158102996786557,-0.0628625782537466
105_V6,0.17844278957311455,-0.3097916691629485
105_V7,0.3089075194034408,0.23309917200836888
106_A1,0.2630185513262318,-0.7632773979880235
106_S_1,0.3219466956769559,0.2192153529532609
106_V2,0.5619204924451582,0.18007584706746174
106_V6,-0.14221549529392605,-0.13079740639568976
106_V7,0.18781992824109808,0.22318890122023397
107_A1,0.5265007860302878,-0.08549780837003629
107_S1,0.4537459803628796,-0.24738308060750072
107_S2,0.5165621677763587,-0.1391332083542344
107_S3,0.48353433800968915,-0.10435578071849617
107_V2,-0.7436985312884921,-0.035773584821567256
107_V3,-0.012142480013924647,0.39086860874266455
107_V6,0.19919262626337042,-0.3082006061231418
107_V7,-0.18221322790466232,-0.3798598019562805
107_V8,0.3735067308815773,-0.1652737334560171
107_V9,0.23320742366083702,-0.24138743310959257
108_A1,0.2757390280645744,0.17528699592356578
108_A2,0.2932658641098032,0.08040885039982505
108_A3F,0.263067704179117,0.03545335891178603
108_A5,0.31798172372970984,0.06574009574504332
108_S1,0.003904104902198439,-0.20969515421794566
108_S2,0.29019321247047625,-0.2757709856537052
108_S3,0.3106023325666642,0.13817556289089375
108_S4F_1,0.28648376865374864,0.23575192775173381
108_S4F_2,0.1571768438023617,0.16950647174711142
108_S5,0.3059313654496242,0.2184557346950891
108_S5F,0.2279920016899481,0.06600673297674417
108_S6F,-0.4818351660004115,0.07208952258500083
108_S7,0.25756215747294225,0.1745586944182471
108_S7F,0.309341847171363,0.02742948135410545
108_V10,0.2629830644710834,0.17721468078124528
108_V11,0.31730497758749887,0.20857533576778742
108_V12,0.3169316112825851,0.011138757850654777
108_V2,0.22771500605716577,-0.8924076179251591
108_V3,-0.021758949995348928,-0.455212036378588
108_V4,-0.2575134813818965,-0.2713044915765273
108_V5,-0.3091731078316864,-0.1906719828575521
108_V6,0.2164690116246535,-0.36568510131701226
108_V7,-0.15196404116472179,-0.2602934388720236
108_V9,0.30418433483285645,0.23222969631812018
109_S1,-0.11532518772528552,-0.1630741822050296
109_S4F,0.31484762375907244,-0.0943286411088625
109_S5,0.16967870569017912,-0.0016967739603422356
109_V1,0.3473533731758709,0.285371159311904
109_V3,0.00145658657380476,0.1999248070607221
109_V5,-0.1865814177052433,0.1329249784251432
109_V6,0.12299043542293203,0.13843491652740958
110_V11,0.2992343270592025,0.14716786761481554
110_V12,0.30606705557753466,0.1581061074293601
110_V8,0.25340343542377874,0.2011036770718561
111_V2,-0.7696780536286585,-0.0368309684140451
112_A1,0.323844417806385,0.1911632152746687
112_A2,0.2571379913360431,0.05883939328483726
112_A2F,0.2694692013192453,0.09612045212872736
112_S_1,0.2093198494735992,-0.6401155302213865
112_V10,0.2396972696872645,-0.03406528204041655
112_V11,0.27523588398947807,0.020380388273732397
112_V12,0.3159347739651547,-0.02496342550063547
112_V3,-0.2239258692475482,-0.37096322731930415
112_V6,-0.6033645823342424,-0.043297661633115624
112_V7,-0.2175254797198821,-0.4183514462573484
112_V8,-0.2739840625141313,-0.200057990868998
112_V9,0.2304661389929374,-0.09782790804847762
113_V6,0.25492383320171935,0.2811121621449691
113_V8,0.18918524266502365,-0.601091815840122
114_V7,-0.21779380024700584,-0.3353730322026114
114_V8,0.19104990627167806,0.12850664383357532
115_S1,0.22462821808955133,-0.14234017404894372
116_V1,0.173208035715686,0.31618324592123986
116_V3,-0.326284720858684,0.09851800329360288
116_V5,-0.6962143118677114,0.023886661407281524
116_V7,-0.2518666918160583,0.05773306864724725
116_V8,0.15565760813288052,0.023050724571128178
117_S1,0.030932134538684316,-0.5146894062542512
117_S3,0.12559073176725125,0.07245734537544961
117_V1,-0.34155239224244427,0.20719632012613418
117_V10,0.106144847650595,0.15576850626722874
117_V11,0.12148284351965631,0.05297018738919273
117_V3,-0.4447946658095049,0.12360203430144695
117_V7,-0.6567088201616299,-0.009285064224401013
117_V8,-0.33501013022095,-0.0853236780542347
117_V9,0.17547872624627564,0.1257690438366908
118_S1,0.27959214117374015,0.17538195011661104
118_S1F,0.30942542524632566,0.18319225952354742
118_S3,0.35668692504619054,0.0701875044702603
118_S4,0.37996642899228034,0.04492081476941207
118_V10,0.3253340174323696,-0.15299577813738324
118_V11,0.32169192580041683,0.09867289686819179
118_V3,-0.2156855684189624,0.08331999217319049
118_V6,0.1760869004776614,0.09688863413380992
118_V7,0.22551582462270295,0.06731425497689003
118_V8,0.24686232229071717,0.18140166053855508
119_V1,0.09145370457107624,-0.7126165387401628
119_V12,0.39152534601412725,-0.03880487439648922
119_V8,0.20101553992779098,-0.5815018289087068
120_V2,-0.7300348597554444,0.10909847139741054
121_V1,-0.5944981434851079,-0.015823738926498066
121_V10,0.4891386272268924,-0.17860676237510087
121_V2,-0.34072158244522543,-0.26595767829581973
121_V6,0.23908571793856334,0.24645372653862327
121_V9,0.36660925745033307,-0.06306404783408968
122_V1,-0.28467827196154455,0.20391741159243465
122_V3,-0.2725300814626473,0.20696930214865608
123_S2,0.21119474796922585,0.26565783149998573
123_S2F,0.17917428308952812,0.23296187116531747
123_S2F2,0.08256146805110953,0.06979986054867961
123_S3,0.22567928728797046,0.2501701024710552
123_S4,0.2783653020744135,0.07822879534918493
123_S4F,0.3055329440001167,0.11460726075509062
123_V1,-0.19573529075614238,-0.5707080903540539
123_V10,0.3206862621676167,0.22964655492991343
123_V11,0.3156028505106632,0.08709837030719045
123_V2,-0.45151762429508074,-0.052846558791177826
123_V3_1,-0.02216062716371577,-0.3794155643370748
