SampleID,ko_shannon,ko_evenness,ko_richness
108_S6,10.118174037949888,0.10990460467888465,4024
108_S6F,11.058424566577438,0.32440266780745425,4092
108_S7,10.022129035286193,0.09305969130477756,3864
108_S7F,10.047105256796753,0.1379662818197349,3518
108_V10,10.039636558308663,0.08927502755879549,4142
108_V11,9.83592449135604,0.08576632181279416,3842
108_V12,10.034386220518286,0.16718086400625118,3068
108_V2,9.220455023113026,0.10696065748477145,2822
108_V3,10.54527976877415,0.2620095038489241,3485
108_V4,10.855417640623935,0.2569688323418973,4417
108_V5,11.017159934734996,0.2796067479718636,4450
108_V6,10.320968192427507,0.17830647389121737,4310
108_V7,10.879166975986482,0.22190454995133696,4546
108_V8,9.906868105654208,0.13476571264615406,3426
108_V9,9.766558610782706,0.055497637698268765,4057
109_S1,10.897273261687463,0.25450853775986354,4424
109_S4F,10.125855148671898,0.1999086346684893,3043
109_S5,10.41226453826542,0.1446476286203603,4290
109_V1,9.62419120769622,0.11626061082940836,2458
109_V3,10.599911216403223,0.1362237572774916,4353
109_V5,10.99723128633854,0.2085619280964084,4582
109_V6,10.421476414662934,0.11009607827380975,4450
110_V10,10.057944589413362,0.07870590774715434,4008
110_V11,9.9380053797867,0.11081473415749349,3313
110_V12,9.896542207931532,0.09123705531544758,3581
110_V7,10.676574550867539,0.16520061662356572,4198
110_V8,9.984402323091821,0.07859452647095248,3984
110_V9,9.976892982880731,0.0882009032174211,3666
111_V2,11.016650809980408,0.4009953826944691,3619
112_A1,9.858910744820808,0.11287487716812045,3283
112_A2,10.119824624696497,0.1316707255828218,3959
112_A2F,10.06626995310652,0.12828118640498867,3682
112_S_1,9.79326487652502,0.11720053179443791,4097
112_V10,10.204598073464226,0.1595828042511094,3875
112_V11,10.159890348745574,0.1393966471216067,4043
112_V12,10.105572852538824,0.15645012223304908,3765
112_V3,10.645641140201706,0.24562791696154943,3755
112_V6,11.126366830105974,0.4100751591178311,3963
112_V7,10.525998064360815,0.18196198949309547,4237
112_V8,10.975809511789645,0.24779089527609613,4649
112_V9,10.181861093024258,0.19168951536525036,3239
113_V6,9.912415192020934,0.0793934541317811,3802
113_V8,9.841371419796761,0.10614108481870936,4463
114_V6,11.137173647617034,0.3367513855627851,4442
114_V7,10.766570374670271,0.22380211388564428,4409
114_V8,10.212125337734555,0.10989168165267224,4310
115_S1,10.290421555638817,0.149171752629727,4217
116_V1,10.263000519380313,0.19006076164603725,2926
116_V3,11.002592955264086,0.26798715037487286,3703
116_V5,11.112129296236795,0.41639296315649454,3858
116_V7,11.050533029382013,0.25881796580932903,4209
116_V8,10.380902998675662,0.1302378498631914,3989
117_S1,10.247853004843616,0.13976450294055565,4381
117_S3,10.479838375477163,0.12802205431543792,4447
117_V1,11.01451746403836,0.25788436245687774,3663
117_V10,10.441569843022487,0.10739314872926772,4260
117_V11,10.501425428954702,0.13555305798874845,4380
117_V3,11.156377221722604,0.3674434410821461,3915
117_V6,10.645226700905758,0.15730105221504326,4043
117_V7,11.138496916400628,0.3920327131375656,4144
117_V8,11.002266439207016,0.297873929788689,4279
117_V9,10.291867762690115,0.09280837231314124,4316
118_S1,9.988495969063784,0.0895417955394067,4205
118_S1F,9.86883680587762,0.09070060127614675,3901
118_S3,10.054470108378391,0.14290669073176493,4312
118_S4,10.01198656448195,0.1562281433398383,4024
118_V10,10.157600298817085,0.19328637230462575,3515
118_V11,9.964465182113814,0.14821445513785178,3477
118_V3,10.977576340011117,0.23806427510188105,4359
118_V6,10.159205450759979,0.10721608183154874,4430
118_V7,10.086596290596074,0.10990763400110377,4254
118_V8,10.089120195886531,0.08382811702005322,4631
119_V1,10.140806458953792,0.15374135150483767,3234
119_V12,9.982198249119921,0.1496488649388834,3660
119_V8,9.885693956633482,0.12653384993202088,4227
120_V2,11.115912140932608,0.42070771840960147,3845
121_V1,11.17263925667447,0.43018690671556803,3855
121_V10,9.885095777388846,0.17828656426440964,3195
121_V2,10.812568184522828,0.2765380589567785,3848
121_V5,10.46910219529594,0.2129063005819824,3600
121_V6,9.982861993580672,0.10256123757387527,3788
121_V7,11.109187137213965,0.28924652597906986,3907
121_V9,10.077040650896162,0.1404135330497786,4037
122_V1,10.915841282322246,0.2617350135538545,3636
122_V3,10.902911678119597,0.2732560377975749,3658
123_S2,10.131503262497016,0.09400280256443636,4434
123_S2F,10.238956812701469,0.10526796144173708,4363
123_S2F2,10.534690284452232,0.1509149877461296,4481
123_S3,10.020872498380381,0.07328290866014738,4042
123_S4,10.097932255030223,0.10812649267324279,4191
123_S4F,9.954627083973724,0.09709221776755092,3882
123_V1,10.402223406247568,0.2628259886818522,3482
123_V10,9.795340744693153,0.06253203020678982,4302
123_V11,9.94901592863053,0.1405944508291329,3008
123_V2,11.10838521154302,0.3578564951550984,4041
123_V3_1,10.614793516989225,0.21552661383649258,4245
123_V3_2,11.13125803399921,0.31976848615077214,4419
123_V4,10.780159738990008,0.2151062794555854,4501
123_V5,10.893156693500655,0.23668312810975325,4546
123_V6,9.974858931648688,0.08533389549603358,4291
123_V7,10.26719255781064,0.11778253716010917,4223
123_V8,10.3891610582249,0.09252242210453883,4036
123_V9,9.812322711508513,0.05386358238814459,4247
125_V11,10.42295825676612,0.1834958644536918,4233
125_V2,11.216667056383613,0.3923196783588092,4226
125_V7,10.384570261743745,0.16435544078800374,4187
126_V6,9.915184136699667,0.11322405740516168,3845
126_V7,10.39810824288207,0.13934879576810733,4549
127_S1,11.129619506258143,0.3250012706789247,4458
127_S4,10.923235956026225,0.24033739925856423,4531
127_S4F,10.960535647422228,0.28286332575357187,4404
127_V1,11.05499614424034,0.27794819886026206,4387
127_V10,11.199683097415306,0.31303513816856465,4797
127_V6,11.071613323394581,0.383213804865161,3918
127_V7,10.945441311456943,0.2430834125111305,4609
127_V9,11.088718498515153,0.2713673338446114,4805
128_A1,10.413282657840751,0.1650165232495556,4143
128_A2,10.036432557110079,0.1117601458678447,3984
128_S1,10.65993376516051,0.15485338914394636,4012
128_S2,10.163656267401235,0.10406989470593274,4085
128_V2,10.700374019240009,0.19647508633050076,3728
128_V7,10.100217104872943,0.10071433034765655,4082
128_V8,9.984521127683292,0.1217181471400758,3921
129_V5,11.155844656339823,0.3718074351116489,4134
129_V6,10.707356990303992,0.24025157605111344,3998
129_V7,10.999891378711544,0.28087810395931606,4344
