SampleID,MDS1,MDS2
GD5_1,-82.365031643644,-0.008886413419834325
GD5_10,-82.36553091414828,-0.003666217297008121
GD5_11,-82.36532675337284,-0.008568176192326514
GD5_12,-82.36846288471892,-0.007490791209956583
GD5_2,-82.36885608137503,0.010602429395840232
GD5_3,-82.36644837588821,-0.0012934106969571116
GD5_4,-82.36504700791956,0.009712311833478402
GD5_5,-82.36537197874716,0.008377681020479569
GD5_6,-82.36527123436314,-0.0045574187554052
GD5_7,-82.36478589122054,-0.005737728207245777
GD5_8,-82.3727909164768,0.008432136360247278
GD5_9,-82.36664011781745,0.0030737604406492806
MSA2002_10A,41.186440594744184,-0.004034805082399253
MSA2002_10B,41.18915684190862,-0.007809452340441718
MSA2002_11A,41.18053906632442,-0.0010852723374165931
MSA2002_11B,41.189259879032164,4.4736236841157526e-4
MSA2002_12A,41.186613210267026,-8.576700067564573e-4
MSA2002_12B,41.17708859452546,0.003284208291834936
MSA2002_1A,41.186845794416,0.0067298000535318285
MSA2002_1B,41.18553817283504,-0.005737156634645336
MSA2002_2A,41.17999627500657,0.01028812857767489
MSA2002_2B,41.180806426777316,0.004291586791164101
MSA2002_3A,41.17985961752744,8.014029796398183e-4
MSA2002_3B,41.17739292859276,-0.0035912190465255582
MSA2002_4A,41.184560886135166,0.0058815495823260275
MSA2002_4B,41.18929554658711,0.0024548124735420136
MSA2002_5A,41.181377556275514,-0.010277543551512665
MSA2002_5B,41.18051726914779,0.006047053937787252
MSA2002_6A,41.1879382953761,-0.009087513751099518
MSA2002_6B,41.18524777053086,-0.002152136935271066
MSA2002_7A,41.183018272450155,0.006190462639757932
MSA2002_7B,41.17947930533265,0.012356654900318967
MSA2002_8A,41.18235316436295,0.010743027612215914
MSA2002_8B,41.18420120759321,-0.011910712580513882
MSA2002_9A,41.18002200218062,-0.01058329370160712
MSA2002_9B,41.182015121762724,-0.0023874375119772276
